ENSMUSG00000026174|Cnot9
ENSMUSG00000068391|Chrac1
ENSMUSG00000029776|Hibadh
ENSMUSG00000090553|Snrpe
ENSMUSG00000073676|Hspe1
ENSMUSG00000035278|Plekhj1
ENSMUSG00000040681|Hmgn1
ENSMUSG00000043716|Rpl7
ENSMUSG00000025290|Rps24
ENSMUSG00000024668|Sdhaf2
