ENSMUSG00000056493|Foxk1
ENSMUSG00000033557|Fam20b
ENSMUSG00000034557|Zfyve9
ENSMUSG00000055932|Fto
ENSMUSG00000074886|Grk6
ENSMUSG00000034290|Nek9
ENSMUSG00000093674|Rpl41
ENSMUSG00000016940|Kctd2
ENSMUSG00000019916|P4ha1
ENSMUSG00000000282|Mnt
