ENSMUSG00000032583|Mon1a
ENSMUSG00000020642|Rnf144a
ENSMUSG00000040374|Pex2
ENSMUSG00000023118|Sympk
ENSMUSG00000046756|Mrps7
ENSMUSG00000066613|Zfp932
ENSMUSG00000026955|Sapcd2
ENSMUSG00000028032|Papss1
ENSMUSG00000039270|Megf9
ENSMUSG00000028114|Mettl14
