ENSMUSG00000022018|Rgcc
ENSMUSG00000027935|Rab13
ENSMUSG00000028763|Hspg2
ENSMUSG00000014813|Stc1
ENSMUSG00000025969|Nrp2
ENSMUSG00000036617|Etl4
ENSMUSG00000030341|Tnfrsf1a
ENSMUSG00000001300|Efnb2
ENSMUSG00000023830|Igf2r
ENSMUSG00000051855|Mest
