ENSMUSG00000028649|Macf1
ENSMUSG00000095098|Ccdc85b
ENSMUSG00000090733|Rps27
ENSMUSG00000001794|Capns1
ENSMUSG00000026155|Smap1
ENSMUSG00000031148|Gpkow
ENSMUSG00000030750|Nsmce1
ENSMUSG00000026034|Clk1
ENSMUSG00000046138|9930021J03Rik
ENSMUSG00000022472|Desi1
