ENSMUSG00000000296|Tpd52l1
ENSMUSG00000038010|Ccdc138
ENSMUSG00000037573|Tob1
ENSMUSG00000037826|Ppm1k
ENSMUSG00000045257|Morn2
ENSMUSG00000029153|Ociad2
ENSMUSG00000085287|4833418N02Rik
ENSMUSG00000058881|Zfp516
ENSMUSG00000052593|Adam17
ENSMUSG00000026749|Nek6
