ENSMUSG00000079442|St6galnac4
ENSMUSG00000028961|Pgd
ENSMUSG00000026737|Pip4k2a
ENSMUSG00000002897|Il17ra
ENSMUSG00000040613|Apobec1
ENSMUSG00000024525|Impa2
ENSMUSG00000020650|Bcap29
ENSMUSG00000029622|Arpc1b
ENSMUSG00000021591|Glrx
ENSMUSG00000019564|Arid3a
