ENSMUSG00000032679|Cd59a
ENSMUSG00000024588|Fech
ENSMUSG00000043510|Hscb
ENSMUSG00000044337|Ackr3
ENSMUSG00000052187|Hbb-y
ENSMUSG00000015342|Xk
ENSMUSG00000039770|Ypel5
ENSMUSG00000020029|Nudt4
ENSMUSG00000021054|Sgpp1
ENSMUSG00000097296|Gm26532
