ENSMUSG00000038365|Fbxo25
ENSMUSG00000056673|Kdm5d
ENSMUSG00000029804|Herc3
ENSMUSG00000002012|Pnck
ENSMUSG00000039798|2600006K01Rik
ENSMUSG00000073678|Pgap1
ENSMUSG00000004961|Syt5
ENSMUSG00000028845|Tekt2
ENSMUSG00000057469|E2f6
ENSMUSG00000025579|Gaa
