ENSMUSG00000044150|Bclaf3
ENSMUSG00000037640|Zfp60
ENSMUSG00000029924|Slc37a3
ENSMUSG00000026705|Klhl20
ENSMUSG00000001157|Gmcl1
ENSMUSG00000020719|Ddx5
ENSMUSG00000008393|Carhsp1
ENSMUSG00000024006|Stk38
ENSMUSG00000035941|Ibtk
ENSMUSG00000055639|Dach1
