ENSMUSG00000041629|Fam104a
ENSMUSG00000021276|Cinp
ENSMUSG00000015672|Mrpl32
ENSMUSG00000001056|Nhp2
ENSMUSG00000021243|Fcf1
ENSMUSG00000070730|Rmdn3
ENSMUSG00000030335|Mrpl51
ENSMUSG00000023723|Mrps23
ENSMUSG00000021963|Sap18
ENSMUSG00000016833|Mrps18c
