ENSMUSG00000036825|Ssx2ip
ENSMUSG00000052926|Rnaseh2a
ENSMUSG00000059363|Fxn
ENSMUSG00000026614|Slc30a10
ENSMUSG00000026701|Prdx6
ENSMUSG00000032397|Tipin
ENSMUSG00000021595|Nsun2
ENSMUSG00000039910|Cited2
ENSMUSG00000067608|Pcna-ps2
ENSMUSG00000042354|Gnl3
