ENSMUSG00000108776|Gm45169
ENSMUSG00000058258|Idi1
ENSMUSG00000031938|4931406C07Rik
ENSMUSG00000011831|Evi5
ENSMUSG00000011837|Snapc2
ENSMUSG00000030772|Dkk3
ENSMUSG00000027996|Sfrp2
ENSMUSG00000025931|Paqr8
ENSMUSG00000072949|Acot1
ENSMUSG00000032482|Cspg5
