ENSMUSG00000028453|Fancg
ENSMUSG00000025626|Phf6
ENSMUSG00000000295|Hddc2
ENSMUSG00000033799|Fam208b
ENSMUSG00000050213|Snip1
ENSMUSG00000036822|Topors
ENSMUSG00000015126|Tsr3
ENSMUSG00000005936|Kctd20
ENSMUSG00000054604|Cggbp1
ENSMUSG00000045983|Eif4g1
