ENSMUSG00000020130|Tbc1d15
ENSMUSG00000042694|Stn1
ENSMUSG00000029501|Ankle2
ENSMUSG00000027959|Sass6
ENSMUSG00000020687|Cdc27
ENSMUSG00000032245|Cln6
ENSMUSG00000036572|Upf3b
ENSMUSG00000028419|Chmp5
ENSMUSG00000055128|Cgrrf1
ENSMUSG00000024197|Plin3
