ENSMUSG00000078154|Gm12184
ENSMUSG00000032470|Mras
ENSMUSG00000033475|Tomm6
ENSMUSG00000032352|Lrrc1
ENSMUSG00000027832|Ptx3
ENSMUSG00000053819|Camk2d
ENSMUSG00000035357|Pdzrn3
ENSMUSG00000027831|Veph1
ENSMUSG00000019699|Akt3
ENSMUSG00000002459|Rgs20
