ENSMUSG00000022575|Gsdmd
ENSMUSG00000054676|1600014C10Rik
ENSMUSG00000000594|Gm2a
ENSMUSG00000060063|Alox5ap
ENSMUSG00000106874|Gm20186
ENSMUSG00000026626|Ppp2r5a
ENSMUSG00000073411|H2-D1
ENSMUSG00000039747|Orai2
ENSMUSG00000029723|Tsc22d4
ENSMUSG00000031104|Rab33a
