ENSMUSG00000103906|Tigd5
ENSMUSG00000091264|Smim13
ENSMUSG00000075054|Yae1d1
ENSMUSG00000046897|Zfp740
ENSMUSG00000028973|Abcb8
ENSMUSG00000078813|Leng1
ENSMUSG00000030595|Nfkbib
ENSMUSG00000028381|Ugcg
ENSMUSG00000109336|Samd4b
ENSMUSG00000038542|Pcid2
