ENSMUSG00000023075|Akirin1
ENSMUSG00000068823|Csde1
ENSMUSG00000018326|Ywhab
ENSMUSG00000025153|Fasn
ENSMUSG00000022773|Ypel1
ENSMUSG00000038876|Rnf146
ENSMUSG00000034757|Tmub2
ENSMUSG00000032119|Hinfp
ENSMUSG00000070934|Rraga
ENSMUSG00000021936|Mapk8
