ENSMUSG00000038065|Mturn
ENSMUSG00000042766|Trim46
ENSMUSG00000041959|S100a10
ENSMUSG00000057614|Gnai1
ENSMUSG00000022629|Kif21a
ENSMUSG00000020635|Fkbp1b
ENSMUSG00000041037|Irgq
ENSMUSG00000025571|Tnrc6c
ENSMUSG00000050132|Sarm1
ENSMUSG00000028545|Bend5
