ENSMUSG00000052139|Babam2
ENSMUSG00000038564|Ift172
ENSMUSG00000042293|Gm5617
ENSMUSG00000018858|Mrpl58
ENSMUSG00000024622|Hmgxb3
ENSMUSG00000037363|Letm2
ENSMUSG00000039670|Oxld1
ENSMUSG00000044475|Ascc1
ENSMUSG00000025035|Arl3
ENSMUSG00000031796|Cfap20
