ENSMUSG00000026181|Ppm1f
ENSMUSG00000037326|Capn15
ENSMUSG00000079469|Pigb
ENSMUSG00000078671|Chd2
ENSMUSG00000046707|Csnk2a2
ENSMUSG00000020661|Dnmt3a
ENSMUSG00000039262|Prrc2b
ENSMUSG00000071477|Zfp777
ENSMUSG00000024213|Nudt3
ENSMUSG00000036620|Mgat4b
