ENSMUSG00000032324|Tspan3
ENSMUSG00000090112|Shprh
ENSMUSG00000021497|Txndc15
ENSMUSG00000025421|Hdhd2
ENSMUSG00000044408|Sptssa
ENSMUSG00000016526|Dyrk3
ENSMUSG00000028851|Nudc
ENSMUSG00000042726|Trafd1
ENSMUSG00000046949|Nqo2
ENSMUSG00000027162|Lin7c
