ENSMUSG00000027865|Gdap2
ENSMUSG00000025940|Tmem70
ENSMUSG00000040302|Rbm48
ENSMUSG00000074794|Arrdc3
ENSMUSG00000045598|Zfp553
ENSMUSG00000036898|Zfp157
ENSMUSG00000053226|Dand5
ENSMUSG00000033216|Eefsec
ENSMUSG00000025645|Ccdc51
ENSMUSG00000020409|Slu7
