ENSMUSG00000036333|Kidins220
ENSMUSG00000022223|Sdr39u1
ENSMUSG00000026754|Golga1
ENSMUSG00000033991|Ttc37
ENSMUSG00000023861|Mpc1
ENSMUSG00000016200|Syt14
ENSMUSG00000031536|Polb
ENSMUSG00000055963|Triqk
ENSMUSG00000025369|Smarcc2
ENSMUSG00000030122|Ptms
