ENSMUSG00000028911|Srsf4
ENSMUSG00000028560|Usp1
ENSMUSG00000026134|Prim2
ENSMUSG00000007646|Rad51c
ENSMUSG00000017548|Suz12
ENSMUSG00000005470|Asf1b
ENSMUSG00000024590|Lmnb1
ENSMUSG00000022033|Pbk
ENSMUSG00000054717|Hmgb2
ENSMUSG00000027469|Tpx2
