ENSMUSG00000061028|Clasrp
ENSMUSG00000015536|Mocs2
ENSMUSG00000029059|Fam213b
ENSMUSG00000048047|Zbtb33
ENSMUSG00000015806|Qdpr
ENSMUSG00000023921|Mut
ENSMUSG00000028423|Nfx1
ENSMUSG00000057101|Zfp180
ENSMUSG00000020654|Adcy3
ENSMUSG00000020390|Ube2b
