ENSMUSG00000022974|Paxbp1
ENSMUSG00000038014|Fam120a
ENSMUSG00000025060|Slk
ENSMUSG00000047888|Tnrc6b
ENSMUSG00000041765|Ubac2
ENSMUSG00000022139|Mbnl2
ENSMUSG00000038342|Mlxip
ENSMUSG00000006307|Kmt2b
ENSMUSG00000029512|Ulk1
ENSMUSG00000025184|R3hcc1l
