ENSMUSG00000014668|Chfr
ENSMUSG00000015291|Gdi1
ENSMUSG00000021273|Fdft1
ENSMUSG00000022619|Mapk8ip2
ENSMUSG00000031349|Nsdhl
ENSMUSG00000020814|Mxra7
ENSMUSG00000075334|Rprm
ENSMUSG00000048388|Fam171b
ENSMUSG00000001467|Cyp51
ENSMUSG00000007908|Hmgcll1
