ENSMUSG00000035367|Rmi1
ENSMUSG00000032113|Chek1
ENSMUSG00000042699|Dhx9
ENSMUSG00000028820|Sfpq
ENSMUSG00000022119|Rbm26
ENSMUSG00000027635|Dsn1
ENSMUSG00000027411|Vps16
ENSMUSG00000047832|Cdca4
ENSMUSG00000007570|Fance
ENSMUSG00000020250|Txnrd1
