ENSMUSG00000029263|Pigg
ENSMUSG00000039463|Slc9a8
ENSMUSG00000029550|Sppl3
ENSMUSG00000033126|Ybey
ENSMUSG00000039633|Lonrf1
ENSMUSG00000031732|Phlpp2
ENSMUSG00000029992|Gfpt1
ENSMUSG00000018076|Med13l
ENSMUSG00000051671|Coa6
ENSMUSG00000044030|Irf2bp1
