ENSMUSG00000032481|Smarcc1
ENSMUSG00000049606|Zfp644
ENSMUSG00000029283|Cdc7
ENSMUSG00000060336|Zfp937
ENSMUSG00000034429|Zfp707
ENSMUSG00000031478|Nek3
ENSMUSG00000031513|Leprotl1
ENSMUSG00000002846|Timmdc1
ENSMUSG00000022892|App
ENSMUSG00000026889|Rbm18
