ENSMUSG00000030170|Wnt5b
ENSMUSG00000024534|Sncaip
ENSMUSG00000000325|Arvcf
ENSMUSG00000071711|Mpst
ENSMUSG00000055675|Kbtbd11
ENSMUSG00000030428|Ttyh1
ENSMUSG00000074505|Fat3
ENSMUSG00000070509|Rgma
ENSMUSG00000020037|Rfx4
ENSMUSG00000036503|Rnf13
