ENSMUSG00000041238|Rbbp8
ENSMUSG00000000028|Cdc45
ENSMUSG00000020914|Top2a
ENSMUSG00000026960|Arl6ip6
ENSMUSG00000027342|Pcna
ENSMUSG00000023994|Nfya
ENSMUSG00000023150|Ivns1abp
ENSMUSG00000024056|Ndc80
ENSMUSG00000045752|Tssc4
ENSMUSG00000025358|Cdk2
