ENSMUSG00000036769|Wdr44
ENSMUSG00000030753|Thap12
ENSMUSG00000026608|Kctd3
ENSMUSG00000033819|Ppp1r16a
ENSMUSG00000035173|Ccdc186
ENSMUSG00000021982|Cdadc1
ENSMUSG00000070953|Rabepk
ENSMUSG00000078681|Tm2d3
ENSMUSG00000033487|Fndc3a
ENSMUSG00000034801|Sos2
