ENSMUSG00000053192|Mllt11
ENSMUSG00000030451|Herc2
ENSMUSG00000006095|Tbcb
ENSMUSG00000017188|Coa3
ENSMUSG00000031885|Cbfb
ENSMUSG00000018707|Dync1h1
ENSMUSG00000091896|Ube2d2a
ENSMUSG00000042208|0610010F05Rik
ENSMUSG00000020308|Tpgs1
ENSMUSG00000031202|Rab39b
