ENSMUSG00000022350|Washc5
ENSMUSG00000028879|Stx12
ENSMUSG00000024392|Bag6
ENSMUSG00000002844|Adprh
ENSMUSG00000029480|Dhx37
ENSMUSG00000034621|Gpatch8
ENSMUSG00000016495|Plgrkt
ENSMUSG00000029376|Mthfd2l
ENSMUSG00000031246|Sh3bgrl
ENSMUSG00000028670|Lypla2
