ENSMUSG00000029475|Kdm2b
ENSMUSG00000017801|Mlx
ENSMUSG00000037750|Fam222b
ENSMUSG00000000976|Heatr6
ENSMUSG00000015776|Med22
ENSMUSG00000029004|Kmt2e
ENSMUSG00000022377|Asap1
ENSMUSG00000020917|Acly
ENSMUSG00000019087|Atp6ap1
ENSMUSG00000003948|Mmd
