ENSMUSG00000020639|Pfn4
ENSMUSG00000095677|Dynlt1f
ENSMUSG00000040794|C1qtnf4
ENSMUSG00000025195|Dnmbp
ENSMUSG00000022184|Fbxo4
ENSMUSG00000031762|Mt2
ENSMUSG00000071252|2210408I21Rik
ENSMUSG00000042213|Zfand4
ENSMUSG00000023966|Rsph9
ENSMUSG00000031765|Mt1
