ENSMUSG00000020386|Sar1b
ENSMUSG00000058672|Tubb2a
ENSMUSG00000051146|Camk2n2
ENSMUSG00000006731|B4galnt1
ENSMUSG00000034799|Unc13a
ENSMUSG00000044628|Rnf208
ENSMUSG00000001127|Araf
ENSMUSG00000025326|Ube3a
ENSMUSG00000034685|Fam171a2
ENSMUSG00000036438|Calm2
