ENSMUSG00000050428|Fbxo46
ENSMUSG00000051224|Tceanc
ENSMUSG00000111204|Gm47320
ENSMUSG00000057762|Gm6169
ENSMUSG00000062861|Zfp28
ENSMUSG00000033577|Myo6
ENSMUSG00000035275|Raver2
ENSMUSG00000029055|Plch2
ENSMUSG00000046404|Yod1
ENSMUSG00000038594|Cep85l
