ENSMUSG00000096974|Gm26881
ENSMUSG00000097156|Gm3764
ENSMUSG00000044968|Napepld
ENSMUSG00000042350|Arel1
ENSMUSG00000096975|Gm16386
ENSMUSG00000028403|Zdhhc21
ENSMUSG00000040621|Gemin8
ENSMUSG00000097375|6720427I07Rik
ENSMUSG00000035234|Abraxas1
ENSMUSG00000032103|Pus3
