ENSMUSG00000034994|Eef2
ENSMUSG00000039585|Myo9a
ENSMUSG00000028795|Ccdc28b
ENSMUSG00000077450|Rab11b
ENSMUSG00000086290|Snhg12
ENSMUSG00000030327|Necap1
ENSMUSG00000030704|Rab6a
ENSMUSG00000030685|Kctd13
ENSMUSG00000017686|Rhot1
ENSMUSG00000024944|Arl2
