ENSMUSG00000091537|Tma7
ENSMUSG00000028452|Vcp
ENSMUSG00000037643|Prkci
ENSMUSG00000052566|Hook2
ENSMUSG00000033735|Spr
ENSMUSG00000028696|Ipp
ENSMUSG00000047844|Bex4
ENSMUSG00000005225|Plekha8
ENSMUSG00000031479|Vps36
ENSMUSG00000024346|Pfdn1
