ENSMUSG00000053565|Eif3k
ENSMUSG00000018286|Psmb6
ENSMUSG00000021957|Tkt
ENSMUSG00000073640|Rpl27-ps3
ENSMUSG00000025894|Aasdhppt
ENSMUSG00000021392|Nol8
ENSMUSG00000031672|Got2
ENSMUSG00000022312|Eif3h
ENSMUSG00000030079|Ruvbl1
ENSMUSG00000001380|Hars
