ENSMUSG00000043241|Upf2
ENSMUSG00000020898|Ctc1
ENSMUSG00000022702|Hira
ENSMUSG00000022529|Zfp263
ENSMUSG00000022538|Lsg1
ENSMUSG00000022550|Adck5
ENSMUSG00000029815|Malsu1
ENSMUSG00000030316|Tamm41
ENSMUSG00000021893|Capn7
ENSMUSG00000022559|Fbxl6
