ENSMUSG00000091514|Gm17484
ENSMUSG00000003380|Rabac1
ENSMUSG00000051721|Wdcp
ENSMUSG00000022023|Wbp4
ENSMUSG00000058709|Egln2
ENSMUSG00000061461|Smim20
ENSMUSG00000037710|Cisd1
ENSMUSG00000026878|Rab14
ENSMUSG00000035949|Fbxw2
ENSMUSG00000032239|Rp9
