ENSMUSG00000025878|Uimc1
ENSMUSG00000028608|0610037L13Rik
ENSMUSG00000024137|E4f1
ENSMUSG00000031657|Heatr3
ENSMUSG00000039725|Trp53rka
ENSMUSG00000020697|Lig3
ENSMUSG00000027406|Idh3b
ENSMUSG00000029592|Usp30
ENSMUSG00000055319|Sec23ip
ENSMUSG00000053536|Cstf2t
