ENSMUSG00000024002|Brd4
ENSMUSG00000028868|Wasf2
ENSMUSG00000024073|Birc6
ENSMUSG00000029148|Nrbp1
ENSMUSG00000024234|Mtpap
ENSMUSG00000018736|Ndel1
ENSMUSG00000037815|Ctnna1
ENSMUSG00000001229|Dpp9
ENSMUSG00000039887|Alg14
ENSMUSG00000052040|Klf13
