ENSMUSG00000022386|Trmu
ENSMUSG00000036862|Dchs1
ENSMUSG00000052684|Jun
ENSMUSG00000038861|Pi4kb
ENSMUSG00000034118|Tpst1
ENSMUSG00000025026|Add3
ENSMUSG00000045962|Wnk1
ENSMUSG00000024429|Gnl1
ENSMUSG00000004032|Gstm5
ENSMUSG00000004473|Clec11a
