ENSMUSG00000022306|Zfpm2
ENSMUSG00000023927|Satb1
ENSMUSG00000039037|St6galnac5
ENSMUSG00000056185|Snx32
ENSMUSG00000001986|Gria3
ENSMUSG00000052331|Ankrd44
ENSMUSG00000091722|Siah3
ENSMUSG00000057835|Zfp119a
ENSMUSG00000036111|Lmo1
ENSMUSG00000040972|Igsf21
