ENSMUSG00000037316|Bag4
ENSMUSG00000079478|Sssca1
ENSMUSG00000024181|Mrpl28
ENSMUSG00000034880|Mrpl34
ENSMUSG00000034875|Nudt19
ENSMUSG00000039693|Msantd3
ENSMUSG00000018666|Cbx1
ENSMUSG00000042079|Hnrnpf
ENSMUSG00000022204|Ngdn
ENSMUSG00000038880|Mrps34
