ENSMUSG00000028101|Pias3
ENSMUSG00000059708|Akap17b
ENSMUSG00000089665|Fcor
ENSMUSG00000040370|Etfrf1
ENSMUSG00000031505|Naxd
ENSMUSG00000040415|Dtx3
ENSMUSG00000038503|Mesd
ENSMUSG00000038582|Pptc7
ENSMUSG00000034032|Rpap1
ENSMUSG00000025646|Atrip
