ENSMUSG00000027650|Tti1
ENSMUSG00000059273|Zc3h4
ENSMUSG00000005150|Wdr83
ENSMUSG00000026858|Miga2
ENSMUSG00000020736|Nt5c
ENSMUSG00000049287|Iba57
ENSMUSG00000027845|Dclre1b
ENSMUSG00000058093|Zfp729b
ENSMUSG00000020783|Ncbp3
ENSMUSG00000041199|Rpusd1
