ENSMUSG00000031226|Pbdc1
ENSMUSG00000015176|Nolc1
ENSMUSG00000035597|Prpf39
ENSMUSG00000036992|Nxt1
ENSMUSG00000020706|Ftsj3
ENSMUSG00000028587|Orc1
ENSMUSG00000058392|Rrp1b
ENSMUSG00000078249|Hmga1b
ENSMUSG00000020739|Nup85
ENSMUSG00000003604|Aven
