ENSMUSG00000032376|Usp3
ENSMUSG00000036435|Exoc1
ENSMUSG00000046994|Mars2
ENSMUSG00000035764|Fbxo45
ENSMUSG00000038072|Galnt11
ENSMUSG00000097080|1700086O06Rik
ENSMUSG00000033096|Apmap
ENSMUSG00000020385|Clk4
ENSMUSG00000006736|Tspan31
ENSMUSG00000031959|Wdr59
