ENSMUSG00000058886|Deaf1
ENSMUSG00000040007|Bahd1
ENSMUSG00000005034|Prkacb
ENSMUSG00000004945|Tmem242
ENSMUSG00000062190|Lancl2
ENSMUSG00000050891|Tatdn1
ENSMUSG00000005699|Pard6a
ENSMUSG00000049339|Retreg2
ENSMUSG00000030763|Lcmt1
ENSMUSG00000030161|Gabarapl1
