ENSMUSG00000026436|Elk4
ENSMUSG00000059495|Arhgef12
ENSMUSG00000022982|Sod1
ENSMUSG00000018167|Stard3
ENSMUSG00000048546|Tob2
ENSMUSG00000020658|Efr3b
ENSMUSG00000027953|Slc50a1
ENSMUSG00000052544|St6galnac3
ENSMUSG00000034724|Cnot6l
ENSMUSG00000028630|Dyrk2
