ENSMUSG00000029189|Sel1l3
ENSMUSG00000020326|Ccng1
ENSMUSG00000035033|Tbr1
ENSMUSG00000039578|Ccser1
ENSMUSG00000024480|Ap3s1
ENSMUSG00000031626|Sorbs2
ENSMUSG00000028148|Them5
ENSMUSG00000061601|Pclo
ENSMUSG00000018102|Hist1h2bc
ENSMUSG00000020889|Nr1d1
