ENSMUSG00000025268|Maged2
ENSMUSG00000050730|Arhgap42
ENSMUSG00000026577|Blzf1
ENSMUSG00000047412|Zbtb44
ENSMUSG00000079144|A130010J15Rik
ENSMUSG00000049421|Zfp260
ENSMUSG00000057363|Uxs1
ENSMUSG00000004631|Sgce
ENSMUSG00000034216|Vps18
ENSMUSG00000026553|Copa
