ENSMUSG00000040463|Mybbp1a
ENSMUSG00000022407|Adsl
ENSMUSG00000025732|Mcrip2
ENSMUSG00000027327|1700037H04Rik
ENSMUSG00000006442|Srm
ENSMUSG00000034059|Ypel4
ENSMUSG00000030000|Add2
ENSMUSG00000037904|Ankrd9
ENSMUSG00000033685|Ucp2
ENSMUSG00000097615|Gm2061
