ENSMUSG00000028398|Dmac1
ENSMUSG00000026509|Capn2
ENSMUSG00000030282|Cmas
ENSMUSG00000021996|Esd
ENSMUSG00000034509|Mad2l1bp
ENSMUSG00000041426|Hibch
ENSMUSG00000030805|Stx4a
ENSMUSG00000017307|Acot8
ENSMUSG00000026112|Coa5
ENSMUSG00000025144|Cenpx
