ENSMUSG00000053091|Lins1
ENSMUSG00000024953|Prdx5
ENSMUSG00000066150|Slc31a1
ENSMUSG00000036880|Acaa2
ENSMUSG00000021156|Zmynd11
ENSMUSG00000007880|Arid1a
ENSMUSG00000086859|Snhg20
ENSMUSG00000033365|Ipo13
ENSMUSG00000025607|Copg2
ENSMUSG00000045045|Lrfn4
