ENSMUSG00000074406|Zfp628
ENSMUSG00000029426|Scarb2
ENSMUSG00000020472|Zkscan17
ENSMUSG00000031931|Ankrd49
ENSMUSG00000064254|Ethe1
ENSMUSG00000064127|Med14
ENSMUSG00000062794|Zfp599
ENSMUSG00000038225|Primpol
ENSMUSG00000026663|Atf6
ENSMUSG00000026707|Nsun6
